Address,Square,Title,Link,Mã tin,Hướng,Loại tin,Đường trước nhà,Loại BDS,Pháp lý,Chiều ngang,Chiều dài,Số lầu,Số phòng ngủ,Price
"Phố Dương Đình Nghệ, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",4500m,Chính Chủ nhượng lại toà văn phòng hạng A phố Dương Đình Nghệ Cầu Giấy 4500m2x26T,https://123nhadatviet.com/chinh-chu-nhuong-lai-toa-van-phong-hang-a-pho-duong-dinh-nghe-cau-giay-4500m2x26t-4612747.html,4612747,_,Cần bán,,Văn phòng,Giấy tờ hợp lệ,,,26,24,173 tỷ
"Phố Pháo Đài Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",75m,Chính chủ cần bán căn nhà văn phòng ở Phố Pháo Đài Láng Đống Đa 75m2x7T nhỉnh hơn 22 tỷ,https://123nhadatviet.com/chinh-chu-can-ban-can-nha-van-phong-o-pho-phao-dai-lang-dong-da-75m2x6t-nhinh-hon-17-ty-3520846.html,3520846,_,Cần bán,,Nhà phố,Sổ hồng/ Sổ đỏ,,,7,10,"22,5 tỷ"
"Đường Quốc lộ 61, Thị trấn Minh Lương, Huyện Châu Thành, Kiên Giang",103m,"Bán nền sổ sẵn 103m2 , gần chợ .",https://123nhadatviet.com/ban-nen-so-san-103m2-gan-cho--6871019.html,6871019,Đông,Cần bán,12m,,Sổ hồng/ Sổ đỏ,5m,20m,,,450 triệu
"Đường Đỗ Quang, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",70m,Chính chủ bán nhà phân lô ngõ 26 Đỗ Quang Cầu Giấy 70m2x7T nhỉnh hơn 34 tỷ,https://123nhadatviet.com/chinh-chu-ban-nha-phan-lo-ngo-26-do-quang-cau-giay-70m2x7t-nhinh-hon-34-ty-6613659.html,6613659,_,Cần bán,,Nhà riêng,Sổ hồng/ Sổ đỏ,,,7,7,35 tỷ
"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",65m,Chính chủ cần bán căn nhà ở ngõ 151A Thái Hà Đống Đa 65m2x5T nhỉnh hơn 10 tỷ,https://123nhadatviet.com/chinh-chu-can-ban-can-nha-o-ngo-151a-thai-ha-dong-da-65m2x5t-nhinh-hon-7-ty-3395601.html,3395601,_,Cần bán,,Nhà riêng,Sổ hồng/ Sổ đỏ,,,5,7,10 ngàn
"Phố Nguyễn Đình Hoàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",62m,Chính bán nhà mặt phố Kinh doanh đỉnh phố Nguyễn Đình Hoàn Cầu Giấy 62m2x6T nhỉnh hơn 22 ỷ,https://123nhadatviet.com/chinh-ban-nha-mat-pho-kinh-doanh-dinh-pho-nguyen-dinh-hoan-cau-giay-62m2x6t-nhinh-hon-22-y-4824998.html,4824998,_,Cần bán,,Nhà phố,Sổ hồng/ Sổ đỏ,,,6,10,"22,6 tỷ"
"Đường Nguyễn Thị Định, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",75m,Chính chủ bán nhà phân lô vỉa hè ngõ 30 Nguyễn Thị Định Cầu Giấy 75m2x5T nhỉnh hơn 23 tỷ,https://123nhadatviet.com/chinh-chu-ban-nha-phan-lo-via-he-ngo-30-nguyen-thi-dinh-cau-giay-75m2x5t-nhinh-hon-23-ty-5746632.html,5746632,_,Cần bán,,Nhà riêng,Sổ hồng/ Sổ đỏ,,,5,10,"23,7 tỷ"
"Phố Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội",50m,CHỦ NHÀ MUỐN BÁN NHÀ LIỄU GIAI BA ĐÌNH 50M2-6 TẦNG-MT 6M-GIÁ CHÀO 14 TỶ-THƯƠNG LƯỢNG,https://123nhadatviet.com/chu-nha-muon-ban-nha-lieu-giai-ba-dinh-50m2-6-tang-mt-6m-gia-chao-14-ty-thuong-luong-6871018.html,6871018,_,Cần bán,6m,Nhà riêng,Sổ hồng/ Sổ đỏ,5m,,6,5,14 tỷ
"Phố Nguyên Hồng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",48m,Chính chủ bán nhà phân lô ngõ 47 Nguyên Hồng Đống Đa 48m2x5T nhỉnh hơn 14 tỷ,https://123nhadatviet.com/chinh-chu-ban-nha-phan-lo-ngo-47-nguyen-hong-dong-da-48m2x5t-nhinh-hon-14-ty-5694500.html,5694500,_,Cần bán,,Nhà riêng,Sổ hồng/ Sổ đỏ,,,5,9,"14,4 tỷ"
"Đường Thịnh Quang, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",48m,"Bán nhà ngõ Thịnh Quang, DT 48m, 4 tầng, MT 5m, 8.5tỷ.",https://123nhadatviet.com/ban-nha-ngo-6-vinh-phuc-dt-200m-mt-10-5m-gia-23-5-ty-ngo-hon-2m--6437853.html,6437853,_,Cần bán,,Nhà riêng,,,,,,"8,5 tỷ"
"Đường Đỗ Quang, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",70m,Chính chủ bán toà văn phòng nhỏ ở phố Đỗ Quang Cầu Giấy 70m2x7T nhỉnh hơn 24 tỷ,https://123nhadatviet.com/chinh-chu-ban-toa-van-phong-nho-o-pho-do-quang-cau-giay-70m2x7t-nhinh-hon-20-ty-4250718.html,4250718,_,Cần bán,,Văn phòng,Sổ hồng/ Sổ đỏ,,,7,9,"24,7 tỷ"
"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",77m,Chính chủ bán nhà 2 thoáng thang máy ngõ 151b Thái Hà Đống Đa 77m2x7T nhỉnh hơn 22 tỷ,https://123nhadatviet.com/chinh-chu-can-ban-can-nha-ngo-117-thai-ha-dong-da-45m2x4t-nhinh-hon-9-ty-3349233.html,3349233,_,Cần bán,,Nhà phố,Sổ hồng/ Sổ đỏ,,,7,10,"22,9 tỷ"
"Phố Chùa Bộc, Phường Trung Liệt, Quận Đống Đa, Hà Nội",55m,Chính chủ bán căn nhà mặt phố Chùa Bộc Đống Đa 55m2x5T nhỉnh hơn 30 tỷ,https://123nhadatviet.com/chinh-chu-ban-can-nha-mat-pho-chua-boc-dong-da-55m2x5t-nhinh-hon-30-ty-3804418.html,3804418,_,Cần bán,,Nhà phố,Sổ hồng/ Sổ đỏ,,,5,8,33 tỷ
