Address,Price,Title,Square,Mã tin,Hướng,Loại tin,Đường trước nhà,Loại BDS,Pháp lý,Chiều ngang,Chiều dài,Số lầu,Số phòng ngủ
"79* Đường Trịnh Như Khuê, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh",790 triệu,"BÁN NHÀ MẶT TIỀN-12M - SAU CHỢ BÌNH CHÁNH,QL1A - CHO THUÊ-8TR-1THÁNG(BÁN TẬP HOÁ)",96 m2,14143306,Đông,Cần bán,12m,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,19m,1.0,3.0
"Đường Phạm Văn Hai, Phường 3, Quận Tân Bình, Hồ Chí Minh","4,2 tỷ","Bán nhà giá ngộp giá chỉ 4tỷ200, đang cho thuê 22tr/tháng, ở Phạm Văn Hai -Tân Bình",54 m2,15381598,,Cần bán,6m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,,2.0,4.0
"Đường Phổ Quang, Phường 2, Quận Tân Bình, Hồ Chí Minh","3,3 tỷ","Bán nhà đẹp giá ngộp Đ. Phố Quang, Tân Bình, giá siêu mềm chỉ 3.3 tỷ, 52m2, SHR",52 m2,15405588,,Cần bán,6m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,13m,2.0,4.0
"Đường Nguyễn Văn Công, Phường 3, Quận Gò Vấp, Hồ Chí Minh","3,8 tỷ","Chủ ngộp tiền bán gấp nhà 48m2 Nguyễn Văn Công, P3, Gò Vấp. Giá 3 tỷ 800 - SHR",48 m2,15385160,,Cần bán,6m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,12m,2.0,4.0
"Đường Nguyễn Văn Nghi, Phường 4, Quận Gò Vấp, Hồ Chí Minh","3,2 tỷ","Cần đi nước ngoài bán nhanh nhà Nguyễn Văn Nghi, phường 4 Q.Gò Vấp 48m2/ 3.2tỷ",48 m2,15407136,,Cần bán,6m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,12m,2.0,4.0
"Đường Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Hồ Chí Minh","2,9 tỷ",CHỈ 2TỶ9 CÓ NGAY CĂN NHÀ 48m2 Ở NGUYỄN THÁI SƠN GÒ VẤP. CHO THUÊ 16TR,48 m2,15412833,,Cần bán,6m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,12m,2.0,4.0
"Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh","3,825 tỷ","đường đang mở rộng, nhà Dương Quảng Hàm - Gò Vấp. 70m2 giá 3ty825, khu dân cư",70 m2,15405845,,Cần bán,6m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,14m,3.0,4.0
"Đường Lạc Long Quân, Phường 8, Quận Tân Bình, Hồ Chí Minh","2,43 tỷ","nhà Lạc Long Quân, Tân Bình. 57,25m2 giá mềm giảm 200tr còn 2ty430, kinh doanh tốt",58 m2,15406301,,Cần bán,6m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,,3.0,3.0
"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh","3,65 tỷ","chính chủ giảm 300tr nhà Trần Quang Diệu, Quận 3. còn 3ty650, diện tích 56m2",56 m2,15406901,,Cần bán,6m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,14m,3.0,3.0
"Đường Hoàng Văn Thụ, Phường 4, Quận Tân Bình, Hồ Chí Minh","3,5 tỷ","Cần bán gấp nhà mới xây 2020 đường Hoàng Văn Thụ, P.4, Tân Bình. Giá 3 tỷ 500 - SHR",52 m2,15407199,,Cần bán,6m,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,13m,2.0,4.0
