,Loại tin,Mã tin,Link,Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Title,Address,Đường vào,Mặt tiền,Check,Ngày đăng,Ngày hết hạn,Category
0,Tin VIP Kim Cương,41483438,https://batdongsan.com.vn/ban-dat-duong-6-4-phuong-long-binh/sieu-pham-duy-nhat-tai-hem-113-6-thu-duc-ban-3-ty-65-6m2-pr41483438,"65,6 m²",3 tỷ,Nam,,,,Sổ đỏ/ Sổ hồng,,"Siêu phẩm duy nhất tại Hẻm 113 Đường 6, Thủ Đức - bán đất 3 tỷ, 65.6m2!","113, Đường 6, Phường Long Bình, Thủ Đức, Hồ Chí Minh",8 m,4 m,Chưa Xác Thực,10/11/2024,17/11/2024,Ban Dat
1,Tin VIP Kim Cương,41418950,https://batdongsan.com.vn/ban-dat-phuong-thanh-xuan/sieu-pham-hot-nhat-khu-vuc-quan-12-hang-hiem-chinh-chu-vua-ra-lo-ngay-khu-biet-thu-xuan-pr41418950,220 m²,"16,8 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Siêu phẩm hot nhất khu vực quận 12, hàng hiếm chính chủ vừa ra lò, ngay khu biệt thự Thạnh Xuân","Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",,20 m,Chưa Xác Thực,04/11/2024,14/11/2024,Ban Dat
2,Tin VIP Kim Cương,21349450,https://batdongsan.com.vn/ban-dat-duong-dang-thanh-hieu-phuong-phu-huu-2/can-ban-tai-quan-9-doi-dien-cang-jtc-pr21349450,6.300 m²,19 triệu/m²,,,,,Có sổ,,"Chính chủ bán 6300m2 đất nông nghiệp quận 9, có sổ đầy đủ, đc phê duyệt quy hoạch ODT, giá 19tr/m2","Đường Đặng Thanh Hiếu, Phường Phú Hữu, Quận 9, Hồ Chí Minh",5 m,5 m,Chưa Xác Thực,30/10/2024,14/11/2024,Ban Dat
3,Tin thường,41432129,https://batdongsan.com.vn/ban-dat-duong-le-van-thinh-phuong-binh-trung-dong/ban-hem-o-to-gan-nga-3-va-nguyen-duy-trinh-pr41432129,82 m²,"6,1 tỷ",Đông,,,,Sổ đỏ/ Sổ hồng,,Bán đất hẻm ô tô gần ngã 3 đường Lê Văn Thịnh và đường Nguyễn Duy Trinh,"Đường Lê Văn Thịnh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",5 m,6 m,TIN XÁC THỰC,05/11/2024,15/11/2024,Ban Dat
4,Tin thường,41470684,https://batdongsan.com.vn/ban-dat-phuong-an-phu/b-190m-tho-cu-hem-4m-sat-ben-thao-dien-gia-17-5-ty-pr41470684,187 m²,"17,5 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,"Bán 187m2 đất thổ cư hẻm 4m phường An Phú, sát bên Thảo Điền giá 17.5 tỷ","Phường An Phú, Quận 2, Hồ Chí Minh",4 m,,TIN XÁC THỰC,08/11/2024,18/11/2024,Ban Dat
5,Tin thường,40922454,https://batdongsan.com.vn/ban-dat-duong-truong-van-bang-phuong-thanh-my-loi/ban-xay-cao-6-tang-khu-hanh-chinh-quan-2-dt-160m2-gia-chi-30-ty-4-so-hong-rieng-pr40922454,160 m²,"32,8 tỷ",Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,"Bán đất xây cao 6 tầng khu hành chính Thạnh Mỹ Lợi Quận 2, DT 160m2 giá chỉ 32 tỷ 8, sổ hồng riêng","Đường Trương Văn Bang, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",12 m,8 m,TIN XÁC THỰC,07/11/2024,17/11/2024,Ban Dat
6,Tin thường,39531583,https://batdongsan.com.vn/ban-dat-duong-so-3-phuong-hiep-binh-chanh/ban-18x13m-khu-biet-thu-dan-chanh-pr39531583,203 m²,"14,2 tỷ",,,,,Sổ đỏ/ Sổ hồng.,,"Bán đất (10*21m) khu biệt thự Bình Dân, Hiệp Bình Chánh, TP Thủ Đức","Đường Số 3, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",,,TIN XÁC THỰC,06/11/2024,16/11/2024,Ban Dat
7,Tin thường,41358025,https://batdongsan.com.vn/ban-dat-duong-28-phuong-linh-dong/ban-gap-lo-mat-tien-xe-tai-ngay-vanh-dai-2-sieu-hot-pr41358025,"72,2 m²","5,2 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,Bán gấp lô đất mặt tiền đường xe tải ngay vành đai 2 linh đông siêu hot: 0933 352 ***,"Đường 28, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",7 m,"4,3 m",TIN XÁC THỰC,11/11/2024,21/11/2024,Ban Dat
8,Tin thường,40920631,https://batdongsan.com.vn/ban-dat-duong-tinh-lo-15-xa-phu-hoa-dong/cat-ban-nhanh-162m2-mat-tien-15-cu-chi-pr40920631,162 m²,"1,45 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Cắt lỗ bán nhanh 162m2 đất mặt tiền Tỉnh Lộ 15, Phú Hòa Đông, Củ Chi","Đường Tỉnh lộ 15, Xã Phú Hòa Đông, Củ Chi, Hồ Chí Minh.",,6 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
9,Tin thường,41377820,https://batdongsan.com.vn/ban-dat-xa-phuoc-thanh/gia-soc-855-trieu-206m2-tho-so-san-mat-tien-duong-nhua-cu-chi-pr41377820,206 m²,855 triệu,,,,,Sổ đỏ/ Sổ hồng.,,"Giá sốc 855 triệu/206m2 đất thổ, sổ sẵn, mặt tiền đường nhựa Phước Thạnh, Củ Chi","Xã Phước Thạnh, Củ Chi, Hồ Chí Minh",12 m,8 m,TIN XÁC THỰC,12/11/2024,22/11/2024,Ban Dat
