,Loại tin,Mã tin,Link,Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Title,Address,Đường vào,Mặt tiền,Check,Ngày đăng,Ngày hết hạn,Hướng ban công,Category
0,Tin VIP Kim Cương,28317135,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-huu-tho-xa-phuoc-kieng-prj-nine-south-estates/can-ban-don-lap-view-song-khu-gia-ban-36-5-ty-tl-pr28317135,372 m²,60 tỷ,,3 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,"Cần bán đơn lập view sông khu Nine South, căn có diện tích lớn nhất. Giá bán: 60 tỷ","Dự án Nine South Estates, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",,,Chưa Xác Thực,10/11/2024,17/11/2024,,Biet Thu
1,Tin VIP Kim Cương,24604589,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-13-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/ban-kdt-hoan-thien-5x17-11-ty-6x17-11-ty-7x17-14-5-ty-7x19-14-5-7x21-15-5-10x20-pr24604589,105 m²,19 tỷ,Tây - Nam,6 tầng,4 phòng,5 phòng,Đã có sổ hồng.,Rất cao cấp.,"Giỏ hàng KĐT Vạn Phúc T11/2024 nhà có thang máy 5x21m 19tỷ 5x22 19.5 tỷ (đường rộng 20m),9x21m 28tỷ","Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",16 m,5 m,Chưa Xác Thực,09/11/2024,16/11/2024,,Biet Thu
2,Tin VIP Kim Cương,40833403,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-13-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/ban-9-2024-gia-tot-t-5x20m-gia-16-5-ty-7x20m-gia-26-5-ty-shophouse-26-ty-pr40833403,180 m²,"28,5 tỷ",,,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,"Bán nhà Vạn Phúc City 11/2024. Giá tốt nhất: 5x21m giá 18 tỷ, 9x20m giá 28,5 tỷ nhà thô sổ hồng","Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",,5 m,Chưa Xác Thực,09/11/2024,16/11/2024,,Biet Thu
3,Tin thường,41288258,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-13-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/can-ban-hoan-thien-full-noi-that-o-5x22m-ham-4-lau-co-thang-may-25m-city-pr41288258,110 m²,"17,4 tỷ",,5 tầng,,,Sổ hồng.,Đầy đủ,"Cần bán: Nhà hoàn thiện full nội thất ở 5x22m, hầm + 4 lầu có thang máy, đường 25m Vạn Phúc City","Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",25 m,5 m,TIN XÁC THỰC,02/11/2024,13/11/2024,,Biet Thu
4,Tin thường,35073747,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-thi-dinh-phuong-cat-lai-prj-khu-biet-thu-sol-villas/-vuon-full-noi-that-can-ban-nhanh-dt-132m2-gia-12-9-ty-pr35073747,120 m²,11 tỷ,,,4 phòng,,Sổ hồng,,"Biệt thự vườn khu compound Sol Villas, nhà 2 mặt tiền trước sau. Giá 11 tỷ. LH: 0902 746 ***","Dự án Sol Villas, Đường Nguyễn Thị Định, Phường Cát Lái, Quận 2, Hồ Chí Minh",,,TIN XÁC THỰC,05/11/2024,16/11/2024,,Biet Thu
5,Tin thường,40950060,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-13-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/chu-thien-chi-can-day-nh-hoan-thien-phong-cuc-dep-9x20m-ham-4-lau-kdt-city-pr40950060,189 m²,31 tỷ,,4 tầng,,,,,"Chủ nhà thiện chí cần đẩy nhanh nhà hoàn thiện văn phòng cực đẹp 9x20m, hầm, 4L KĐT Vạn Phúc City","Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",14 m,,TIN XÁC THỰC,09/11/2024,19/11/2024,,Biet Thu
6,Tin thường,40778106,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-13-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/ban-nh-full-noi-that-cao-cap-5x20-5m-ham-4-tang-moi-hoan-thien-so-hong-san-pr40778106,"102,5 m²","18,8 tỷ",Đông - Bắc,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Bán nhanh - Nhà full nội thất cao cấp - 5x20,5m - Hầm 4 tầng - Nhà mới hoàn thiện - Sổ hồng sẵn","Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",13 m,5 m,TIN XÁC THỰC,11/11/2024,21/11/2024,Đông - Bắc,Biet Thu
7,Tin thường,40917134,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lien-phuong-phuong-phu-huu-2-prj-verosa-park-khang-dien/chinh-chu-ban-can-goc-17x14m-xay-dung-1-tret-3-lau-so-hong-rieng-pr40917134,"214,4 m²",28 tỷ,Bắc,4 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Chính chủ bán căn góc biệt thự Verosa Khang Điền 17x14m. Xây dựng 1 trệt 3 lầu. Sổ hồng riêng,"Dự án Verosa Park, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",16 m,17 m,TIN XÁC THỰC,06/11/2024,22/11/2024,Bắc,Biet Thu
8,Tin thường,41378247,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-d1-phuong-phuoc-long-b-prj-riviera-cove/sieu-dep-ban-dt-501m2-so-hong-gia-chi-55-ty-anh-chi-xem-n-e-nhi-a-pr41378247,501 m²,55 tỷ,Đông - Nam,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Siêu đẹp! Bán Biệt Thự Riviera Cove DT 501m2 sổ hồng, giá chỉ 55 tỷ, anh chị xem nhà nhắn e Nhi ạ","Riviera Cove, Đường D1, Phường Phước Long B, Quận 9, Hồ Chí Minh",12 m,16 m,TIN XÁC THỰC,31/10/2024,30/11/2024,Đông - Nam,Biet Thu
9,Tin thường,41297039,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-10-phuong-hiep-binh-chanh/-sau-coopmart-trieu-200m2-chi-15-ty-duc-pr41297039,200 m²,15 tỷ,,2 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Biệt thự sau Coopmart Bình Triệu 200m2 chỉ 15 tỷ Hiệp Bình Chánh Thủ Đức,"Đường 10, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",10 m,10 m,TIN XÁC THỰC,02/11/2024,13/11/2024,,Biet Thu
10,Tin thường,40918099,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-lien-phuong-phuong-phu-huu-2-prj-verosa-park-khang-dien/chinh-chu-ban-pho-verosapark-7x13m-tho-so-hong-rieng-goi-mr-phan-pr40918099,"89,5 m²","11,79 tỷ",Đông,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Chính chủ bán nhà phố VerosaPark 7x13m Khang Điền nhà thô sổ hồng riêng gọi 0982 667 *** Mr Phan Điền,"Dự án Verosa Park, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",12 m,7 m,TIN XÁC THỰC,06/11/2024,22/11/2024,Đông,Biet Thu
11,Tin thường,39396373,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-vo-chi-cong-phuong-phu-huu-2-prj-the-classia/nh-chu-gui-ban-can-gia-thap-nhat-du-an-hien-nay-dien-tich-5x19m-gia-15-4-ty-pr39396373,95 m²,"16,5 tỷ",Đông - Nam,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,Chính chủ gửi bán căn The Classia giá thấp nhất. Diện tích 5x19m giá chỉ 16.5 tỷ. Trục đường 16m,"Dự án The Classia, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",16 m,,TIN XÁC THỰC,03/11/2024,13/11/2024,Đông - Nam,Biet Thu
12,Tin VIP Kim Cương,40315272,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-do-xuan-hop-phuong-an-phu-prj-the-global-city/full-gio-hang-chuyen-nhuong-t6-2024-pho-gia-tot-t-thi-truong-31-5-ty-pr40315272,95 m²,34 tỷ,Đông - Nam,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Giỏ hàng Chuyển nhượng - Nhà phố The Global City T11/2024 nhiều vị trí đẹp - 1 căn duy nhất 34 tỷ,"Dự án The Global City, Đường Đỗ Xuân Hợp, Phường An Phú, Quận 2, Hồ Chí Minh",14 m,5 m,Chưa Xác Thực,04/11/2024,19/11/2024,Đông - Nam,Biet Thu
13,Tin VIP Bạc,41484531,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-tat-thanh-phuong-cam-nghia-prj-caraworld-cam-ranh/ban-cara-world-gia-soc-chi-8-ty-vnd-120m2-3pn-3wc-pr41484531?source=ad&adid=2648025,120 m²,8 tỷ,,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Bán nhà biệt thự Cara World Cam Ranh - giá sốc chỉ 8 tỷ VND - 120m2 - 3PN + 3WC,"CaraWorld Cam Ranh, Nguyễn Tất Thành, Cam Nghĩa, Cam Ranh, Khánh Hòa",,,Chưa Xác Thực,10/11/2024,17/11/2024,,Biet Thu
14,Tin VIP Kim Cương,40497515,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-an-phu-prj-the-global-city/t-tien-giam-ngay-20-gia-goc-pho-lh-mr-dat-pr40497515,95 m²,34 tỷ,Đông - Nam,5 tầng,4 phòng,4 phòng,Hợp đồng mua bán,Không nội thất.,"Biệt thự liền kề, nhà phố The Global City Q2, DT 5x19m, 1 trệt 4 lầu, cắt lỗ 20%, Mr Đạt 0769 868 ***","Dự án The Global City, Phường An Phú, Quận 2, Hồ Chí Minh",14 m,5 m,Chưa Xác Thực,08/11/2024,15/11/2024,Tây,Biet Thu
15,Tin VIP Kim Cương,41383093,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-duy-trinh-phuong-truong-thanh-prj-khu-do-thi-moi-dong-tang-long/ban-gap-12-can-quan-9-chi-6-8-10-5-38-ty-gia-c-100-1000m2-11-2024-pr41383093,160 m²,"8,5 tỷ",,,,,Sổ đỏ/ Sổ hồng,,"Bán gấp 12 căn biệt thự Đông Tăng Long Quận 9 chỉ 6,8-10,5-38 tỷ (giá thực) 100-1000m2 11/2024","Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",,,Chưa Xác Thực,01/11/2024,17/11/2024,,Biet Thu
16,Tin VIP Vàng,41258617,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-oanh-phuong-7-10-prj-cityland-center-hills/ban-sieu-re-chi-16-8-ty-pr41258617,100 m²,"16,8 tỷ",,5 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản,Bán nhà Cityland siêu rẻ chỉ 16.3 tỷ,"Dự án Cityland Center Hills, Đường Nguyễn Oanh, Phường 7, Gò Vấp, Hồ Chí Minh",,,Chưa Xác Thực,12/11/2024,27/11/2024,,Biet Thu
17,Tin VIP Vàng,40831378,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-thi-nhung-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/ban-cap-pho-tm-mat-tien-vi-tri-sieu-vip-dong-tien-khung-pr40831378,"181,1 m²",30 tỷ,,5 tầng,,,Sổ đỏ/ Sổ hồng,Full nội thất.,"Căn góc 2 mặt tiền Nguyễn Thị Nhung, Vạn Phúc City, DT 181,1m2 dòng tiền 70tr/th - 30tỷ - Thật 100%","Dự án KĐT Vạn Phúc City, Đường Nguyễn Thị Nhung, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",,,Chưa Xác Thực,12/11/2024,19/11/2024,,Biet Thu
18,Tin thường,40813771,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-thi-tran-long-thanh-3-prj-khu-do-thi-id-junction/ban-hoa-von-song-lap-170m2-tai-du-an-junciton-pr40813771?source=ad&adid=2643003,170 m²,"11,9 tỷ",,3 tầng,4 phòng,4 phòng,Hợp đồng mua bán,,Bán hoà vốn biệt thự song lập 170m2 tại dự án ID Junciton,"Dự án Khu đô thị ID Junction, Thị trấn Long Thành, Long Thành, Đồng Nai",,,Chưa Xác Thực,07/11/2024,07/12/2024,,Biet Thu
19,Tin VIP Vàng,41499497,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-duy-trinh-phuong-truong-thanh-prj-khu-do-thi-moi-dong-tang-long/tai-sao-nen-mua-pho-kdt-160-ha-voi-gia-68tr-m2-tk-1-tret-2-lau-1-tum-pr41499497,125 m²,"8,5 tỷ",,2 tầng,5 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hoàn thiện ngoài thô bên trong,"Tại sao nên mua nhà phố KĐT Đông Tăng Long 160 ha với giá 68tr/m2, TK 1 trệt - 2 lầu - 1 tum","Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",,160 m,Chưa Xác Thực,12/11/2024,19/11/2024,,Biet Thu
20,Tin VIP Vàng,41391243,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-b1-phuong-phu-huu-2-prj-dragon-village/ban-pho-90m2-gia-5-x-ty-lh-pr41391243,90 m²,"5,8 tỷ",,,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,"Bán nhà phố 90m2 Dragon Village, giá 5.8 tỷ LH 0934 002 ***","Dự án Dragon Village, Đường B1, Phường Phú Hữu, Quận 9, Hồ Chí Minh",,6 m,TIN XÁC THỰC,11/11/2024,18/11/2024,,Biet Thu
