,Loại tin,Mã tin,Link,Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Title,Address,Đường vào,Mặt tiền,Check,Hướng ban công,Ngày đăng,Ngày hết hạn,Category
0,Tin VIP Kim Cương,41475066,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-ngoc-phuong_1-phuong-19/ban-tien-kinh-doanh-view-so-thu-pr41475066,85 m²,"23,8 tỷ",Đông - Bắc,7 tầng,3 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Chính chủ bán nhà mặt tiền kinh doanh đường Nguyễn Ngọc Phương,"44 Nguyễn Ngọc Phương, Phường 19, Quận Bình Thạnh, Hồ Chí Minh",16 m,"4,7 m",Chưa Xác Thực,Đông - Bắc,09/11/2024,16/11/2024,Nha Mat Pho
1,Tin VIP Vàng,41504098,https://batdongsan.com.vn/ban-nha-mat-pho-duong-truong-sa-phuong-13-1/ban-goc-3-tien-quan-highlands-coffee-964-13-quan-3-pr41504098,184 m²,76 tỷ,,4 tầng,,,,,"Bán góc 3 mặt tiền quán Highlands Coffee 964 Trường Sa, Phường 13, Quận 3","964, Đường Trường Sa, Phường 13, Quận 3, Hồ Chí Minh",,29 m,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
2,Tin VIP Vàng,41412784,https://batdongsan.com.vn/ban-nha-mat-pho-duong-quang-trung-phuong-14-8/-tien-bo-kenh-tham-luong-thuoc-go-vap-sat-chung-cu-khang-gia-dt-12-x-20-gia-27ty-pr41412784,207 m²,27 tỷ,,,,,Sổ đỏ/ Sổ hồng.,,"Mặt tiền bờ kênh Tham Lương thuộc Gò Vấp sát chung cư khang Gia DT: 12 x 20m, giá: 27tỷ","Đường Quang Trung, Phường 14, Gò Vấp, Hồ Chí Minh",,,Chưa Xác Thực,,12/11/2024,19/11/2024,Nha Mat Pho
3,Tin thường,40953277,https://batdongsan.com.vn/ban-nha-mat-pho-duong-672-phuong-phuoc-long-b/an-iet-thu-3-tang-12-2x19m-vi-tri-vip-tien-gan-xa-lo-ha-noi-p-q9-pr40953277,"229,9 m²","23,5 tỷ",Đông - Bắc,3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,"Bán biệt thự 3 tầng 12,2x19m, vị trí VIP. Mặt tiền gần đường Xa Lộ Hà Nội, P Phước Long B, Q9","Đường 672, Phường Phước Long B, Quận 9, Hồ Chí Minh",,"12,2 m",TIN XÁC THỰC,,12/11/2024,22/11/2024,Nha Mat Pho
4,Tin thường,41118404,https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-42-phuong-binh-trung-dong/ban-toa-1-ham-6-lau-789m2-chi-38-ty-42-p-q2-ke-benh-vien-le-van-th-pr41118404,202 m²,38 tỷ,,7 tầng,21 phòng,21 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,"Bán tòa nhà 1 hầm 6 lầu sàn 789m2 chỉ 38 tỷ. Đường Số 42, P Bình Trưng Đông, Q2. Kế BV Lê Văn Thịnh","Đường Số 42, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",,"8,4 m",TIN XÁC THỰC,,12/11/2024,22/11/2024,Nha Mat Pho
5,Tin thường,41271065,https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-4-phuong-an-phu/b-tien-4-khu-4-p-q2-dt-6m-x-9-25m-gia-11-ty-g-vincom-mega-mall-pr41271065,"54,4 m²",11 tỷ,Tây - Nam,1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,"Bán nhà mặt tiền đường Số 4, khu phố 4, P.An Phú, Q2. DT 6m x 9,25m giá 11 tỷ. Gần Vincom Mega Mall","39A, Đường Số 4, Phường An Phú, Quận 2, Hồ Chí Minh",,6 m,TIN XÁC THỰC,,12/11/2024,22/11/2024,Nha Mat Pho
6,Tin thường,41505583,https://batdongsan.com.vn/ban-nha-mat-pho-duong-42-3-phuong-binh-trung-dong/-mt-42-dien-tich-145m2-xd-4-tang-5pn-5wc-co-gara-xe-hoi-gia-14-5-ty-tl-chinh-chu-pr41505583,145 m²,"14,5 tỷ",,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Nhà MT Đường 42, diện tích 145m2 XD 4 tầng 5PN 5WC có gara xe hơi. Giá 14.5 tỷ TL chính chủ","Đường 42, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",,,Chưa Xác Thực,,12/11/2024,22/11/2024,Nha Mat Pho
7,Tin thường,41491558,https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-loi-1-phuong-4-18/ban-rieng-4-go-vap-18-2-ty-vnd-131-1m2-pr41491558,"131,1 m²","18,2 tỷ",Tây,1 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,"Bán nhà đường Lê Lợi, Phường 4, Gò Vấp, 18,2 tỷ vnd, 131,1m2","Đường Lê Lợi, Phường 4, Gò Vấp, Hồ Chí Minh",,8 m,TIN XÁC THỰC,Tây,11/11/2024,21/11/2024,Nha Mat Pho
8,Tin thường,41495780,https://batdongsan.com.vn/ban-nha-mat-pho-duong-mieu-go-xoai-phuong-binh-hung-hoa-a/-moi-4-5-tam-4x20m-sieu-dep-full-noi-that-mtkd-so-14-le-van-quoi-pr41495780,80 m²,"8,8 tỷ",Bắc,5 tầng,6 phòng,7 phòng,Sổ đỏ/ Sổ hồng,,"Nhà mới 4,5 tấm 4x20m siêu đẹp full nội thất MTKD Miếu Gò Xoài - Đường Số 14, Lê Văn Quới","Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",12 m,4 m,TIN XÁC THỰC,Bắc,11/11/2024,21/11/2024,Nha Mat Pho
9,Tin thường,41392030,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-ba-huan-phuong-thao-dien/n-dat-tang-205m2-4-tang-9pn-mt-hdt-3000-gia-39-5-ty-192tr-m-con-tl-pr41392030,205 m²,"39,5 tỷ",,4 tầng,9 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"Bán đất tặng nhà, 205m2 4 tầng 9PN, MT Nguyễn Bá Huân HĐT 75,18 triệu. Giá 39.5tỷ, 192tr/m2 còn TL","Đường Nguyễn Bá Huân, Phường Thảo Điền, Quận 2, Hồ Chí Minh",12 m,"7,5 m",TIN XÁC THỰC,,12/11/2024,22/11/2024,Nha Mat Pho
