,Loại tin,Mã tin,Link,Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Title,Address,Đường vào,Mặt tiền,Check,Ngày đăng,Ngày hết hạn,Hướng ban công,Category
0,Tin VIP Kim Cương,41485775,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-huy-ich-phuong-12-8/re-qua-ca-oi-can-sieu-pham-dep-lung-linh-gia-hon-5ty-p-12-go-vap-4-x-16-tret-2-lau-pr41485775,64 m²,"5,8 tỷ",Nam,2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Rẻ quá cả nhà ơi căn siêu phẩm đẹp lung linh giá hơn 5 tỷ P. 12 Gò Vấp 4 x 16m trệt 2 lầu,"Đường Phan Huy Ích, Phường 12, Gò Vấp, Hồ Chí Minh",3 m,,Chưa Xác Thực,10/11/2024,17/11/2024,,Nha Rieng
1,Tin VIP Kim Cương,41485182,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-khoi-phuong-11-8/co-thang-may-1-truc-hem-xe-hoi-gia-12-3-ti-dien-tich-4m-x-19m-tret-lung-3-lau-pr41485182,64 m²,"12,3 tỷ",Tây - Bắc,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Có thang máy - nhà 1 trục hẻm xe hơi giá: 12.3 tỷ diện tích: 4m x 19m trệt lửng 3 lầu,"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",6 m,,Chưa Xác Thực,10/11/2024,17/11/2024,,Nha Rieng
2,Tin VIP Kim Cương,41332417,https://batdongsan.com.vn/ban-nha-rieng-duong-au-co-phuong-10-10/can-goc-2-mat-hem-tien-kinh-doanh-buon-ban-cach-20m-ra-cho-tran-van-quang-338-67-gia-3-9-ty-pr41332417,34 m²,"3,9 tỷ",Nam,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Căn góc 2 mặt hẻm tiện kinh doanh buôn bán. Cách 20m ra chợ Trần Văn Quang 338/67 Âu Cơ. Giá 3.9 tỷ,"338/67, Đường Âu Cơ, Phường 10, Tân Bình, Hồ Chí Minh",6 m,,Chưa Xác Thực,10/11/2024,17/11/2024,,Nha Rieng
3,Tin thường,41252618,https://batdongsan.com.vn/ban-nha-rieng-phuong-6-13/chdv-b-thanh-13-phong-full-noi-that-79m2-11-5-ty-p6-pr41252618,79 m²,"11,5 tỷ",Tây,5 tầng,13 phòng,13 phòng,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp,CHDV Bình Thạnh 13 phòng - Full nội thất - 79m2 - 11.5 tỷ - P6,"Phường 6, Bình Thạnh, Hồ Chí Minh",3 m,5 m,TIN XÁC THỰC,11/11/2024,26/11/2024,,Nha Rieng
4,Tin thường,41073868,https://batdongsan.com.vn/ban-nha-rieng-duong-27-phuong-hiep-binh-chanh/-ban-khu-ben-song-27-va-pham-van-dong-gan-song-mat-me-90m2-pr41073868,90 m²,"9,6 tỷ",,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Nhà bán khu bên sông đường 27 và Phạm Văn Đồng gần sông mát mẻ 90m2,"Đường 27, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",,"4,5 m",TIN XÁC THỰC,07/11/2024,22/11/2024,,Nha Rieng
5,Tin thường,39969457,https://batdongsan.com.vn/ban-nha-rieng-duong-3-2-2-phuong-12-5/ban-dien-tich-lon-cu-xa-nguyen-trung-truc-3-thang-2-12-quan-10-ngang-6-x-19m-pr39969457,119 m²,"17,5 tỷ",,,,,,,Bán nhà diện tích lớn Cư Xá Nguyễn Trung Trực Đường 3 Tháng 2 Phường 12 Quận 10 ngang 6 x 19m,"Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",,,TIN XÁC THỰC,04/11/2024,14/11/2024,,Nha Rieng
6,Tin thường,41438496,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-van-tri-phuong-11-7/ban-moi-5-tang-tai-truoc-7m-o-to-quay-dau-thong-so-chuan-77m2-pr41438496,77 m²,"11,2 tỷ",,5 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Bán nhà mới 5 tầng tai Phan Văn Trị - Đường trước nhà 7m ô tô quay đầu - Thông số chuẩn 77m2,"Đường Phan Văn Trị, Phường 11, Bình Thạnh, Hồ Chí Minh",7 m,"4,3 m",TIN XÁC THỰC,06/11/2024,16/11/2024,,Nha Rieng
7,Tin thường,40014317,https://batdongsan.com.vn/ban-nha-rieng-duong-11-1-phuong-truong-tho-2/chinh-chu-ban-67m2-gap-tra-no-bank-pr40014317,67 m²,"3,9 tỷ",Đông - Nam,1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Chính chủ bán nhà riêng 67m2 gần TT TP Thủ Đức,"Đường 11, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",6 m,,TIN XÁC THỰC,06/11/2024,06/12/2024,,Nha Rieng
8,Tin thường,41486929,https://batdongsan.com.vn/ban-nha-rieng-duong-hong-lac-phuong-10-10/chinh-chu-ban-trung-tam-quan-tan-binh-dtcn-88-9m2-dtsd-104m2-4-tang-6pn-100tr-m2-sat-mt-pr41486929,"88,9 m²","9,5 tỷ",,4 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,"Chính chủ bán nhà trung tâm Quận Tân Bình DTCN 88.9m2, DTSD 104m2, 4 tầng, 6PN, 100tr/m2, sát MT","Đường Hồng Lạc, Phường 10, Quận Tân Bình, Hồ Chí Minh",,"4,3 m",TIN XÁC THỰC,10/11/2024,20/11/2024,,Nha Rieng
9,Tin thường,41463859,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-thuong-hien-phuong-6-13/sieu-pham-moi-cuoi-nam-ban-moi-cung-5-tang-tang-full-noi-that-san-do-xe-7-cho-tai-pr41463859,60 m²,"12,8 tỷ",,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Siêu phẩm nhà mới cuối năm! Bán nhà mới cứng 4 tầng tặng full nội thất - sân đỗ xe 7 chỗ tại nhà,"Đường Nguyễn Thượng Hiền, Phường 6, Bình Thạnh, Hồ Chí Minh",6 m,4 m,TIN XÁC THỰC,07/11/2024,18/11/2024,,Nha Rieng
